R000,,X Axis Home Sensor,,
R001,,Y Axis Home Sensor,,
R002,,Z Axis Home Sensor,,
R003,,Z Gripper Cyl Home,,
R004,,Z Gripper Cyl Extend,,
R005,,Dump Gripper Cyl Extend,,
R006,,Graphite Gripper Cyl Extend,,
R007,,Tank Pressurize Request,,
R008,,Carrier Gripper Cyl Extend,,
R009,,Flip Axis at Graphite Stn,,
R010,,Flip Axis at Carrier Stn,,
R011,,Fine Scale Relay On,,
R012,,Chamber Vacuum Signal,,
R013,,Chamber Vented Signal,,
R014,,Melting Furnace Run Signal,,
R015,,Melting Furnace Error,,
R100,,Gate Open Status Signal,,
R101,,Carrier Tray Station Sensor,,
R102,,Graphite Station Sensor,,
R103,,Coarse Scale Station Sensor,,
R104,,Flip Axis Home Sensor,,
R105,,Vacuum Lid Station Sensor,,
R106,,Fine Scale Station Sensor,,
R107,,Machine Door Closed Switch,,
R108,,Pickup Station Sensor,,
R109,,Gate Station Sensor,,
R110,,Gate Closed Sensor,,
R111,,Pure Gold Station Sensor,,
R112,,Gate Light Curtain,,
R113,,Z Gripper Lift Sensor,,
R114,,Carrier Dump Home Sensor,,
R115,,Carrier Dump End Sensor,,
R200,,X Axis Alarm Signal,,
R201,,Y Axis Alarm Signal,,
R202,,Z Axis Alarm Signal,,
R203,,K-Gold Tray Station,,
R507,,Fine Scale Relay,,
R508,,Graphite Gripper Valve Home,,
R509,,Graphite Gripper Valve Extend,,
R510,,Carrier Gripper Valve Home,,
R511,,Carrier Gripper Valve Extend,,
R512,,Z Gripper Valve Home,,
R513,,Z Gripper Valve Extend,,
R514,,Dump Gripper Valve Home,,
R515,,Dump Gripper Valve Extend,,
R600,,Right Door Lock HMI Side,,
R601,,Left Door Lock Gate Side,,
R602,,Air Tank Selector Valve,,
R604,,Coarse Scale Magnet,,
R605,,Chiller Circulation Pump,,
R606,,Cooling Head Water Pump,,
R607,,Vision Camera Light,,
R1500,,Gate Actuator Motor Start,,
R1501,,Gate Actuator Motor Direction,,
R1502,,Tray Pickup Motor Start,,
R1503,,Tray Pickup Motor Direction,,
R1504,,Flip Motor Start,,
R1505,,Flip Motor Direction,,
R1506,,Dump Motor Start,,
R1507,,Dump Motor Direction,,
R1508,,XRF Analyzer Power,,
R1509,,Furnace Power,,
R1510,,Chiller Power,,
R1511,,Furnace Air Cool Valve,,
R1512,,Air Compressor Power,,
R1513,,Melting Furnace Start,,
R1514,,Chamber Vacuum Valve,,
R1515,,Chamber Vent Valve,,
R5009,,E-Stop,,
MR000,,Reset HMI,,
MR001,,Init Start,,
MR003,,X Axis Homed,,
MR008,,Power-On Flag,,
MR100,,All Motors Home Init,,
MR600,,Stop HMI,,
MR601,,1 Standalone; 0 Online,,
MR602,,0 Step; 1 Continuous,,
MR603,,Start HMI,,
MR604,,Standalone Cycle Running HMI,,
MR605,,Init (Home) HMI,,
MR606,,PLC Device Init Complete,,
MR607,,Continuous Standalone HMI,,
MR608,,Master Alarm Flag,,
MR609,,Fault Reset Flag,,
MR610,,E-Stop Flag,,
MR611,,Stop Flag,,
MR612,,Start Flag,,
MR613,,Init Complete Flag,,
MR614,,Init Start Flag,,
MR615,,Init Flag,,
MR700,,0 Standby; 1 Process Run,,
MR701,,E-Stop HMI,,
MR702,,Init Flag; Standalone Cycle,,
MR705,,Furnace Alarm Flag,,
MR710,,1 Vented; 0 Vacuum,,
MR800,,HMI Hold 3s Stop Chiller,,
MR801,,HMI Hold 5s Stop Pumps,,
MR900,,HMI Z Gripper Endurance,,
MR901,,Z Gripper Endurance Running,,
MR902,,HMI Gripper Endurance Start,,
MR903,,Gripper Endurance Running,,
MR1000,,X Axis Home Fail (R000),,
MR1001,,Y Axis Home Fail (R001),,
MR1002,,Z Axis Home Fail (R002),,
MR1003,,Z Gripper Cyl Home Fault (R003),,
MR1004,,Z Grip Extend Fault (R004),,
MR1005,,Dump Gripper Sensor Fault (R005),,
MR1006,,Graph Gripper Sens Fault (R006),,
MR1007,,Air Tank Pressure Low (R007),,
MR1008,,Carr Gripper Sens Fault (R008),,
MR1009,,Flip Graphite Sensor (R009),,
MR1010,,Flip Carrier Sensor (R010),,
MR1011,,Fine Scale Relay Fault R11/R603,,
MR1012,,Vacuum Not Reached (R012),,
MR1013,,Chamber Vent Fail (R013),,
MR1014,,Melt Power Start Fail (R014),,
MR1015,,Melt Power Fault (R015),,
MR1100,,Gate Motor Open Fault (R100),,
MR1101,,Carr Tray Not at Carr Stn (R101),,
MR1102,,Graphite Tray Mispos R102,,
MR1103,,Carrier Not at Coarse R103,,
MR1104,,Flip Not at Home (R104),,
MR1105,,Vacuum Lid Missing (R105),,
MR1106,,Carrier Not at Fine (R106),,
MR1107,,Door Closed Switch Fault R107,,
MR1108,,Pickup Station Not Reset (R108),,
MR1109,,Gate Station Sensor Fault R109,,
MR1110,,Gate Motor Close Fault R110,,
MR1111,,Pure Gold Tray Missing R111,,
MR1112,,Gate Light Curtain Off R112,,
MR1113,,Z Gripper Lifted (R113),,
MR1114,,Dump Not at Home (R114),,
MR1115,,Carr Dump End Sens Fault (R115),,
MR1200,,X Axis Error (R200),,
MR1201,,Y Axis Error (R201),,
MR1202,,Z Axis Error (R202),,
MR1203,,K-Gold Tray Stn Missing (R203),,
MR1204,,Both Gold Stns Occupied,,
MR1300,,Machine Init Fail,,
MR1310,,Flip Sensors Not Detected,,
MR1315,,Melt Power Stop Fail,,
MR1401,,Carrier Residue (R101),,
MR1402,,Graphite Residue (R102),,
MR1403,,Coarse Scale Residue R103,,
MR1405,,Vacuum Lid Missing (R105),,
MR1406,,Fine Scale Residue R106,,
MR1408,,Pickup Station Residue R108,,
MR1409,,Gate Station Residue R109,,
MR1410,,Gate Closed Residue R110,,
MR1411,,Pure Gold Tray Residue R111,,
MR1412,,Gate Curtain Blocked R112,,
MR1503,,K-Gold Tray Residue R203,,
MR1600,,Melting Heat Timeout,,
MR1601,,Melting Heat Temp Not Reached,,
MR1602,,Post-Melt Lid Cool Timeout,,
MR1603,,Graphite Station Cooling Timeout,,
MR1604,,Return Water Temp High,,
MR1700,,PLC RS485 Master/Slave Error,,
MR1800,,Coarse Scale Read Weight Fail,,
MR1801,,Coarse Magnetic Read Fail,,
MR1802,,No Wt Change After Gate Open,,
MR1803,,No Wt Change on Return,,
MR1804,,Fine Scale Material Residue,,
MR1900,,Chiller Alarm,,
MR1902,,Chiller Tank Level Alarm,,
MR1908,,Chiller Water High Temp Alarm,,
MR1909,,Chiller Water Low Temp Alarm,,
MR1915,,Graphite Crucible Count Reset,,
MR2000,,Graphite Tray Life Warning,,
MR2002,,Graphite Tray Life Expired,,
MR2004,,Machine Door Open Warning,,
MR2700,,X Axis Step Pulse Output Flag,,
MR2701,,X Axis Step Dir Output Flag,,
MR2702,,Y Axis Step Pulse Output Flag,,
MR2703,,Y Axis Step Dir Output Flag,,
MR2704,,Z Axis Step Pulse Output Flag,,
MR2705,,Z Axis Step Dir Output Flag,,
MR2708,,Graphite Grip Home Output,,
MR2709,,Graphite Grip Extend Output,,
MR2710,,Carr Gripper Valve Home Out Flag,,
MR2711,,Carrier Grip Extend Output,,
MR2712,,Z Gripper Valve Home Output Flag,,
MR2713,,Z Gripper Valve Extend Out Flag,,
MR2714,,Dump Gripper Valve Home Out Flag,,
MR2715,,Dump Grip Extend Output,,
MR2800,,Right Door Lock Output,,
MR2801,,Left Door Lock Output,,
MR2802,,Tank Pressurize Valve Out Flag,,
